variant,layer,projection,frob_E,spec_E_check,frob_W,ratio
m2b,34,o_proj,1.8807801008224487,1.8807801008224487,58.65534973144531,0.032064937118841466
m2b,34,down_proj,1.8717609643936157,1.8717609643936157,91.57036590576172,0.020440684558582094
m2b,35,o_proj,1.77718985080719,1.77718985080719,65.68130493164062,0.02705777317696173
m2b,35,down_proj,1.9369196891784668,1.9369196891784668,88.97764587402344,0.021768610195877756
m2b,36,o_proj,2.227341413497925,2.227341413497925,61.06275177001953,0.03647626988522814
m2b,36,down_proj,2.0528295040130615,2.0528295040130615,89.95733642578125,0.02282003431378536
m2b,37,o_proj,2.136914014816284,2.136914014816284,58.566436767578125,0.036487007452692795
m2b,37,down_proj,2.1696856021881104,2.1696856021881104,93.49392700195312,0.02320670092446523
m2b,38,o_proj,1.218580961227417,1.218580961227417,57.09755325317383,0.021342087213862895
m2b,38,down_proj,2.041536331176758,2.041536331176758,94.82438659667969,0.021529655022817125
m2b,39,o_proj,1.7703953981399536,1.7703953981399536,59.63737487792969,0.029686004821032674
m2b,39,down_proj,2.125166177749634,2.125166177749634,93.88056182861328,0.02263691371627388
m2b,40,o_proj,1.6316449642181396,1.6316449642181396,57.6536750793457,0.02830079716466631
m2b,40,down_proj,2.3411083221435547,2.3411083221435547,94.351806640625,0.024812543665014942
m2b,41,o_proj,2.204822301864624,2.204822301864624,62.12864303588867,0.035488016382250714
m2b,41,down_proj,2.6395645141601562,2.6395645141601562,78.41695404052734,0.03366063559158368
d3,0,o_proj,1.2775970697402954,1.2775970697402954,63.56478500366211,0.020099133028872673
d3,0,down_proj,2.357231616973877,2.357231616973877,106.39189910888672,0.022156119372973782
d3,1,o_proj,1.5476088523864746,1.5476088523864746,59.78000259399414,0.025888403901507304
d3,1,down_proj,2.4405248165130615,2.4405248165130615,108.31302642822266,0.022532144996708768
d3,2,o_proj,1.589033842086792,1.589033842086792,67.74276733398438,0.02345687819708577
d3,2,down_proj,2.314608573913574,2.314608573913574,105.21880340576172,0.021998050719010814
d3,3,o_proj,1.5917508602142334,1.5917508602142334,63.57655715942383,0.02503675775054597
d3,3,down_proj,2.1650543212890625,2.1650543212890625,104.7504653930664,0.02066868450812984
d3,4,o_proj,1.5247715711593628,1.5247715711593628,62.46060562133789,0.0244117320988394
d3,4,down_proj,2.1988871097564697,2.1988871097564697,102.76004028320312,0.02139827021959521
d3,5,o_proj,2.423163890838623,2.423163890838623,78.36988830566406,0.03091957821079978
d3,5,down_proj,2.1248748302459717,2.1248748302459717,105.7091064453125,0.020101152130590126
d3,6,o_proj,1.9251270294189453,1.9251270294189453,66.86538696289062,0.028791084847641195
d3,6,down_proj,2.227315664291382,2.227315664291382,105.70169830322266,0.02107171124064593
d3,7,o_proj,1.8155896663665771,1.8155896663665771,67.971435546875,0.026711068432775646
d3,7,down_proj,2.3309247493743896,2.3309247493743896,104.82913208007812,0.022235467404173634
d3,8,o_proj,1.2678941488265991,1.2678941488265991,66.69747924804688,0.01900962619758568
d3,8,down_proj,2.2540321350097656,2.2540321350097656,101.5910415649414,0.02218731199412785
d3,9,o_proj,1.4330004453659058,1.4330004453659058,63.15673065185547,0.022689591918004164
d3,9,down_proj,2.482999801635742,2.482999801635742,105.72559356689453,0.023485323826200156
d3,10,o_proj,1.4736155271530151,1.4736155271530151,65.95577239990234,0.022342480021584843
d3,10,down_proj,2.5059814453125,2.5059814453125,98.68649291992188,0.025393358008435386
d3,11,o_proj,1.7018299102783203,1.7018299102783203,71.12318420410156,0.023927920681877716
d3,11,down_proj,2.2802040576934814,2.2802040576934814,100.94623565673828,0.022588302009073233
d3,12,o_proj,1.4143750667572021,1.4143750667572021,61.914859771728516,0.0228438709539488
d3,12,down_proj,2.2298784255981445,2.2298784255981445,101.75801086425781,0.021913541810214203
d3,13,o_proj,1.4008063077926636,1.4008063077926636,63.7784309387207,0.021963637034886917
d3,13,down_proj,2.3468260765075684,2.3468260765075684,104.60979461669922,0.022434095058752143
d3,14,o_proj,1.2983791828155518,1.2983791828155518,63.928192138671875,0.02030996246537257
d3,14,down_proj,2.2026994228363037,2.2026994228363037,97.69435119628906,0.02254684529723325
d3,15,o_proj,1.1937365531921387,1.1937365531921387,58.18947982788086,0.020514645546292936
d3,15,down_proj,2.0908398628234863,2.0908398628234863,89.46987915039062,0.023369204057032168
d3,16,o_proj,1.1828659772872925,1.1828659772872925,56.821624755859375,0.02081717976861119
d3,16,down_proj,1.858504295349121,1.858504295349121,83.39749145507812,0.022284894460527033
d3,17,o_proj,1.4180229902267456,1.4180229902267456,63.41203689575195,0.02236204764338268
d3,17,down_proj,1.91185462474823,1.91185462474823,82.90483856201172,0.02306083285257456
d3,18,o_proj,1.0890724658966064,1.0890724658966064,55.12913513183594,0.019754934723575767
d3,18,down_proj,1.7518244981765747,1.7518244981765747,75.4670639038086,0.023213099961189365
d3,19,o_proj,1.1243493556976318,1.1243493556976318,57.19216537475586,0.01965914996101739
d3,19,down_proj,1.6501078605651855,1.6501078605651855,73.48778533935547,0.02245417864948899
d3,20,o_proj,1.065122127532959,1.065122127532959,57.4205322265625,0.01854949939039816
